route_id,service_id,trip_id,trip_headsign,trip_short_name
1275006900001,000094,22750069773107,Stockholm Kaknästornet,null
1275006900001,000094,22750069773265,Stockholm Kaknästornet,null
1275006900001,000094,22750069775280,Stockholm Kaknästornet,null
1275006900001,000094,22750069779434,Stockholm Kaknästornet,null
1275006900001,000094,22750069779500,Stockholm Kaknästornet,null
1275006900001,000094,22750069779544,Stockholm Kaknästornet,null
1275006900001,000094,22750069779610,Stockholm Kaknästornet,null
1275006900001,000094,22750069780028,Stockholm Kaknästornet,null
1275006900001,000094,22750069780182,Stockholm Kaknästornet,null
1275006900001,000094,22750069780358,Stockholm Kaknästornet,null
1275006900001,000094,22750069782096,Stockholm Kaknästornet,null
1275006900001,000080,22750069773129,Stockholm Kaknästornet,null
1275006900001,000080,22750069773151,Stockholm Kaknästornet,null
1275006900001,000080,22750069773287,Stockholm Kaknästornet,null
1275006900001,000080,22750069779368,Stockholm Kaknästornet,null
1275006900001,000080,22750069779390,Stockholm Kaknästornet,null
1275006900001,000080,22750069779654,Stockholm Kaknästornet,null
1275006900001,000080,22750069779698,Stockholm Kaknästornet,null
1275006900001,000080,22750069779742,Stockholm Kaknästornet,null
1275006900001,000080,22750069779786,Stockholm Kaknästornet,null
1275006900001,000080,22750069779830,Stockholm Kaknästornet,null
1275006900001,000080,22750069779896,Stockholm Kaknästornet,null
1275006900001,000080,22750069779940,Stockholm Kaknästornet,null
1275006900001,000080,22750069779984,Stockholm Kaknästornet,null
1275006900001,000080,22750069780072,Stockholm Kaknästornet,null
1275006900001,000080,22750069780094,Stockholm Kaknästornet,null
1275006900001,000080,22750069780160,Stockholm Kaknästornet,null
1275006900001,000080,22750069780226,Stockholm Kaknästornet,null
1275006900001,000080,22750069780248,Stockholm Kaknästornet,null
1275006900001,000080,22750069780292,Stockholm Kaknästornet,null
1275006900001,000080,22750069780314,Stockholm Kaknästornet,null
1275006900001,000094,22750069782140,Stockholm Kaknästornet,null
1275006900001,000094,22750069782184,Stockholm Kaknästornet,null
1275006900001,000080,22750069774756,Stockholm Kaknästornet,null
1275006900001,000080,22750069775722,Stockholm Kaknästornet,null
1275006900001,000080,22750069775744,Stockholm Kaknästornet,null
1275006900001,000080,22750069775810,Stockholm Kaknästornet,null
1275006900001,000080,22750069780402,Stockholm Kaknästornet,null
1275006900001,000080,22750069780446,Stockholm Kaknästornet,null
1275006900001,000080,22750069780490,Stockholm Kaknästornet,null
1275006900001,000080,22750069780534,Stockholm Kaknästornet,null
1275006900001,000080,22750069780600,Stockholm Kaknästornet,null
1275006900001,000080,22750069780650,Stockholm Kaknästornet,null
1275006900001,000080,22750069780672,Stockholm Kaknästornet,null
1275006900001,000080,22750069780716,Stockholm Kaknästornet,null
1275006900001,000080,22750069780760,Stockholm Kaknästornet,null
1275006900001,000080,22750069780826,Stockholm Kaknästornet,null
1275006900001,000080,22750069780920,Stockholm Kaknästornet,null
1275006900001,000080,22750069780964,Stockholm Kaknästornet,null
1275006900001,000080,22750069781008,Stockholm Kaknästornet,null
1275006900001,000080,22750069781052,Stockholm Kaknästornet,null
1275006900001,000080,22750069781096,Stockholm Kaknästornet,null
1275006900001,000148,22750069783816,Stockholm Kaknästornet,null
1275006900001,000148,22750069783862,Stockholm Kaknästornet,null
1275006900001,000148,22750069783908,Stockholm Kaknästornet,null
1275006900001,000148,22750069783954,Stockholm Kaknästornet,null
1275006900001,000148,22750069783770,Stockholm Kaknästornet,null
1275006900001,000098,22750069773887,Stockholm Kaknästornet,null
1275006900001,000080,22750069775230,Stockholm Kaknästornet,null
1275006900001,000080,22750069775208,Stockholm Kaknästornet,null
1275006900001,000080,22750069775854,Stockholm Kaknästornet,null
1275006900001,000148,22750069784024,Stockholm Kaknästornet,null
1275006900001,000354,22750069784000,Stockholm Kaknästornet,null
1275006900001,000080,22750069775142,Stockholm Kaknästornet,null
1275006900001,000080,22750069775186,Stockholm Kaknästornet,null
1275006900001,000080,22750069779280,Stockholm Kaknästornet,null
1275006900001,000148,22750069784047,Stockholm Kaknästornet,null
1275006900001,000152,22750069784070,Stockholm Kaknästornet,null
1275006900001,000352,22750069783626,Stockholm Kaknästornet,null
1275006900001,000352,22750069783674,Stockholm Kaknästornet,null
1275006900001,000352,22750069783722,Stockholm Kaknästornet,null
1275006900001,000352,22750069783546,Stockholm Kaknästornet,null
1275006900001,000152,22750069784095,Stockholm Kaknästornet,null
1275006900001,000094,22750069782162,Stockholm C Klarabergsviadukte,null
1275006900001,000094,22750069782206,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069775616,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780694,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780738,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780782,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780804,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780848,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780898,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780942,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780986,Stockholm C Klarabergsviadukte,null
1275006900001,000148,22750069783839,Stockholm C Klarabergsviadukte,null
1275006900001,000148,22750069783885,Stockholm C Klarabergsviadukte,null
1275006900001,000094,22750069779456,Stockholm C Klarabergsviadukte,null
1275006900001,000094,22750069779478,Stockholm C Klarabergsviadukte,null
1275006900001,000094,22750069779522,Stockholm C Klarabergsviadukte,null
1275006900001,000352,22750069783012,Stockholm C Klarabergsviadukte,null
1275006900001,000094,22750069779412,Stockholm C Klarabergsviadukte,null
1275006900001,000094,22750069782118,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069775164,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069775876,Stockholm C Klarabergsviadukte,null
1275006900001,000352,22750069783204,Stockholm C Klarabergsviadukte,null
1275006900001,000352,22750069783396,Stockholm C Klarabergsviadukte,null
1275006900001,000352,22750069783459,Stockholm C Klarabergsviadukte,null
1275006900001,000094,22750069780116,Stockholm C Klarabergsviadukte,null
1275006900001,000094,22750069780270,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069774298,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069774376,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069775952,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780138,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780204,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780336,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780380,Stockholm C Klarabergsviadukte,null
1275006900001,000102,22750069776830,Stockholm C Klarabergsviadukte,null
1275006900001,000094,22750069780468,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069774566,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069775370,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780424,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780512,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780556,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069780578,Stockholm C Klarabergsviadukte,null
1275006900001,000080,22750069781030,Stockholm C Klarabergsviadukte,null
